id,total_days,avail_days,avail_rate
3070785,365,113,0.3095890410958904
3106555,365,194,0.5315068493150685
3186548,365,212,0.5808219178082191
3214180,365,325,0.8904109589041096
3304239,365,314,0.8602739726027397
3399891,365,260,0.7123287671232876
3407985,365,351,0.9616438356164384
3485675,365,338,0.9260273972602739
3499060,365,90,0.2465753424657534
3840606,365,47,0.12876712328767123
3879242,365,219,0.6
3908056,365,220,0.6027397260273972
3919250,365,149,0.40821917808219177
3933100,365,178,0.4876712328767123
3953759,365,83,0.2273972602739726
3975942,365,210,0.5753424657534246
4014018,365,230,0.6301369863013698
4014179,365,59,0.16164383561643836
4018116,365,287,0.7863013698630137
4035563,365,40,0.1095890410958904
4054999,365,313,0.8575342465753425
4106145,365,272,0.7452054794520548
4106431,365,272,0.7452054794520548
4118004,365,180,0.4931506849315068
4148503,365,0,0.0
4317397,365,59,0.16164383561643836
4318191,365,180,0.4931506849315068
4320299,365,297,0.8136986301369863
4372441,365,148,0.4054794520547945
4467294,365,0,0.0
4468613,365,88,0.2410958904109589
4495681,365,272,0.7452054794520548
4495844,365,272,0.7452054794520548
4507773,365,272,0.7452054794520548
4520900,365,177,0.4849315068493151
4541617,365,90,0.2465753424657534
4561084,365,272,0.7452054794520548
4568861,365,167,0.4575342465753425
4607827,365,365,1.0
4630004,365,272,0.7452054794520548
4702288,365,72,0.19726027397260273
4702374,365,272,0.7452054794520548
4738149,365,365,1.0
4749034,365,90,0.2465753424657534
4777225,365,246,0.673972602739726
4844292,365,192,0.5260273972602739
4845099,365,4,0.010958904109589041
4848637,365,0,0.0
4851830,365,107,0.29315068493150687
4863470,365,0,0.0
4890403,365,0,0.0
4892246,365,0,0.0
4894283,365,0,0.0
4912003,365,0,0.0
4934107,365,0,0.0
4938261,365,0,0.0
4944433,365,0,0.0
4944559,365,5,0.0136986301369863
4951590,365,128,0.3506849315068493
4969123,365,194,0.5315068493150685
4984328,365,163,0.4465753424657534
5001526,365,233,0.6383561643835617
5081030,365,180,0.4931506849315068
5081189,365,361,0.989041095890411
5111903,365,77,0.21095890410958903
5184999,365,162,0.4438356164383562
5193504,365,44,0.12054794520547946
5222553,365,83,0.2273972602739726
5290265,365,180,0.4931506849315068
5352519,365,365,1.0
5369168,365,90,0.2465753424657534
5392448,365,365,1.0
5395912,365,0,0.0
5448667,365,264,0.7232876712328767
5472730,365,26,0.07123287671232877
5475006,365,241,0.6602739726027397
5475668,365,195,0.5342465753424658
5515015,365,0,0.0
5575829,365,169,0.46301369863013697
5607149,365,0,0.0
5608812,365,90,0.2465753424657534
5673023,365,3,0.00821917808219178
5680005,365,63,0.1726027397260274
5731739,365,127,0.34794520547945207
5770849,365,90,0.2465753424657534
5848620,365,269,0.736986301369863
5854576,365,51,0.13972602739726028
5966970,365,153,0.4191780821917808
5976179,365,202,0.5534246575342465
6008427,365,269,0.736986301369863
6023644,365,180,0.4931506849315068
6046711,365,14,0.038356164383561646
6050738,365,260,0.7123287671232876
6068270,365,113,0.3095890410958904
6087214,365,58,0.1589041095890411
6094681,365,208,0.5698630136986301
6110481,365,305,0.8356164383561644
6121089,365,4,0.010958904109589041
6121199,365,2,0.005479452054794521
6173828,365,182,0.4986301369863014
6196233,365,217,0.5945205479452055
6217090,365,305,0.8356164383561644
6224868,365,245,0.6712328767123288
6234488,365,170,0.4657534246575342
6243561,365,162,0.4438356164383562
6314122,365,284,0.7780821917808219
6377639,365,176,0.4821917808219178
6380635,365,0,0.0
6380722,365,0,0.0
6380811,365,0,0.0
6380940,365,0,0.0
6386082,365,351,0.9616438356164384
6400213,365,114,0.31232876712328766
6405839,365,175,0.4794520547945205
6511572,365,339,0.9287671232876712
6511868,365,344,0.9424657534246575
6546414,365,213,0.5835616438356165
6554371,365,342,0.936986301369863
6567840,365,170,0.4657534246575342
6597813,365,157,0.4301369863013699
6694505,365,157,0.4301369863013699
6753698,365,364,0.9972602739726028
6771979,365,178,0.4876712328767123
6816756,365,66,0.18082191780821918
6898486,365,183,0.5013698630136987
6902353,365,83,0.2273972602739726
6996925,365,99,0.27123287671232876
7014236,365,126,0.3452054794520548
7045673,365,356,0.9753424657534246
7196744,365,342,0.936986301369863
7236737,365,342,0.936986301369863
7283802,365,62,0.16986301369863013
7312737,365,320,0.8767123287671232
7319733,365,180,0.4931506849315068
7351938,365,359,0.9835616438356164
7370637,365,303,0.8301369863013699
7375824,365,324,0.8876712328767123
7658761,365,365,1.0
7724648,365,0,0.0
7725908,365,149,0.40821917808219177
7797772,365,345,0.9452054794520548
7848303,365,84,0.23013698630136986
7861901,365,132,0.36164383561643837
7864125,365,190,0.5205479452054794
7922657,365,244,0.6684931506849315
7931592,365,127,0.34794520547945207
8002342,365,119,0.32602739726027397
8118749,365,241,0.6602739726027397
8137719,365,212,0.5808219178082191
8202791,365,185,0.5068493150684932
8214630,365,89,0.24383561643835616
8260269,365,52,0.14246575342465753
8323680,365,212,0.5808219178082191
8383669,365,269,0.736986301369863
8384357,365,83,0.2273972602739726
8395269,365,25,0.0684931506849315
8428125,365,20,0.0547945205479452
8431901,365,133,0.3643835616438356
8479555,365,318,0.8712328767123287
8547900,365,170,0.4657534246575342
8592007,365,362,0.9917808219178083
8613386,365,83,0.2273972602739726
8620493,365,33,0.09041095890410959
8712419,365,164,0.44931506849315067
8751539,365,49,0.13424657534246576
8781059,365,179,0.4904109589041096
8880657,365,138,0.3780821917808219
8893269,365,270,0.7397260273972602
9051375,365,313,0.8575342465753425
9053364,365,306,0.8383561643835616
9054031,365,337,0.9232876712328767
9121994,365,89,0.24383561643835616
9144261,365,51,0.13972602739726028
9202653,365,55,0.1506849315068493
9292277,365,87,0.23835616438356164
9311543,365,310,0.8493150684931506
9372986,365,95,0.2602739726027397
9413296,365,6,0.01643835616438356
9419095,365,255,0.6986301369863014
9438346,365,209,0.5726027397260274
9457310,365,67,0.18356164383561643
9466812,365,269,0.736986301369863
9468976,365,351,0.9616438356164384
9471108,365,68,0.1863013698630137
9535176,365,303,0.8301369863013699
9622276,365,79,0.21643835616438356
9669477,365,102,0.27945205479452057
9686963,365,173,0.473972602739726
9715354,365,68,0.1863013698630137
9788632,365,201,0.5506849315068493
9852663,365,193,0.5287671232876713
9868533,365,0,0.0
9950852,365,222,0.6082191780821918
9988638,365,178,0.4876712328767123
10047044,365,361,0.989041095890411
10096368,365,105,0.2876712328767123
10150463,365,157,0.4301369863013699
10150804,365,241,0.6602739726027397
10151418,365,210,0.5753424657534246
10167061,365,178,0.4876712328767123
10196520,365,203,0.5561643835616439
10232580,365,364,0.9972602739726028
10254998,365,358,0.9808219178082191
10296809,365,164,0.44931506849315067
10301726,365,223,0.6109589041095891
10448762,365,343,0.9397260273972603
10463842,365,177,0.4849315068493151
10483990,365,356,0.9753424657534246
10530378,365,0,0.0
10554878,365,114,0.31232876712328766
10558422,365,19,0.052054794520547946
10559106,365,104,0.28493150684931506
10560003,365,312,0.8547945205479452
10576868,365,34,0.09315068493150686
10578817,365,334,0.915068493150685
10579389,365,237,0.6493150684931507
10596335,365,25,0.0684931506849315
10619369,365,319,0.873972602739726
10619401,365,32,0.08767123287671233
10619884,365,32,0.08767123287671233
10620143,365,115,0.3150684931506849
10620342,365,114,0.31232876712328766
10650328,365,117,0.32054794520547947
10689015,365,156,0.4273972602739726
10740773,365,81,0.2219178082191781
10742557,365,263,0.7205479452054795
10753725,365,241,0.6602739726027397
10755410,365,241,0.6602739726027397
10755679,365,0,0.0
10758473,365,355,0.9726027397260274
10844845,365,365,1.0
10845204,365,361,0.989041095890411
10845460,365,365,1.0
10846244,365,350,0.958904109589041
10847380,365,357,0.9780821917808219
10847892,365,365,1.0
10848436,365,365,1.0
11007917,365,163,0.4465753424657534
11024330,365,94,0.25753424657534246
11026681,365,364,0.9972602739726028
11129625,365,87,0.23835616438356164
11140660,365,78,0.2136986301369863
11183004,365,308,0.8438356164383561
11246441,365,26,0.07123287671232877
11301973,365,287,0.7863013698630137
11324283,365,1,0.0027397260273972603
11327928,365,342,0.936986301369863
11330930,365,347,0.9506849315068493
11402960,365,168,0.4602739726027397
11540482,365,0,0.0
11561837,365,37,0.10136986301369863
11660562,365,3,0.00821917808219178
11679874,365,277,0.7589041095890411
11686801,365,177,0.4849315068493151
11693088,365,316,0.8657534246575342
11839710,365,232,0.6356164383561644
11873875,365,307,0.8410958904109589
11977286,365,340,0.9315068493150684
11984141,365,365,1.0
12044977,365,88,0.2410958904109589
12073442,365,301,0.8246575342465754
12078891,365,241,0.6602739726027397
12080926,365,364,0.9972602739726028
12085043,365,289,0.7917808219178082
12128820,365,304,0.8328767123287671
12163734,365,241,0.6602739726027397
12177438,365,344,0.9424657534246575
12195168,365,364,0.9972602739726028
12221943,365,241,0.6602739726027397
12255487,365,87,0.23835616438356164
12333661,365,0,0.0
12367961,365,289,0.7917808219178082
12396857,365,90,0.2465753424657534
12473860,365,0,0.0
12482688,365,333,0.9123287671232877
12482897,365,309,0.8465753424657534
12482913,365,309,0.8465753424657534
12483996,365,61,0.16712328767123288
12559667,365,13,0.03561643835616438
12617215,365,151,0.4136986301369863
12629735,365,90,0.2465753424657534
12629805,365,90,0.2465753424657534
12765506,365,272,0.7452054794520548
12767952,365,93,0.2547945205479452
12796531,365,88,0.2410958904109589
12815108,365,357,0.9780821917808219
12815941,365,241,0.6602739726027397
12892380,365,0,0.0
12897349,365,51,0.13972602739726028
12909519,365,333,0.9123287671232877
12937970,365,361,0.989041095890411
12991166,365,350,0.958904109589041
12999941,365,184,0.5041095890410959
13032793,365,362,0.9917808219178083
13034881,365,345,0.9452054794520548
13132837,365,125,0.3424657534246575
13155905,365,307,0.8410958904109589
13227358,365,194,0.5315068493150685
13273687,365,68,0.1863013698630137
13316714,365,37,0.10136986301369863
13324212,365,72,0.19726027397260273
13364884,365,201,0.5506849315068493
13380983,365,346,0.947945205479452
13406169,365,362,0.9917808219178083
13540710,365,78,0.2136986301369863
13563942,365,255,0.6986301369863014
13610279,365,187,0.5123287671232877
13611755,365,345,0.9452054794520548
13649155,365,163,0.4465753424657534
13660847,365,229,0.6273972602739726
13742219,365,92,0.25205479452054796
13780908,365,363,0.9945205479452055
13802886,365,180,0.4931506849315068
13855114,365,0,0.0
13901288,365,0,0.0
13906407,365,88,0.2410958904109589
13928722,365,0,0.0
13945956,365,261,0.7150684931506849
14003706,365,41,0.11232876712328767
14066109,365,352,0.9643835616438357
14066252,365,247,0.6767123287671233
14068043,365,309,0.8465753424657534
14068140,365,351,0.9616438356164384
14069575,365,350,0.958904109589041
14070634,365,250,0.684931506849315
14071140,365,349,0.9561643835616438
14119540,365,156,0.4273972602739726
14158491,365,0,0.0
14188621,365,150,0.410958904109589
14214031,365,166,0.4547945205479452
14241304,365,280,0.7671232876712328
14305998,365,42,0.11506849315068493
14322087,365,124,0.33972602739726027
14322882,365,85,0.2328767123287671
14396024,365,323,0.8849315068493151
14397837,365,177,0.4849315068493151
14421878,365,343,0.9397260273972603
14529227,365,41,0.11232876712328767
14541211,365,256,0.7013698630136986
14559030,365,350,0.958904109589041
14569313,365,0,0.0
14582309,365,19,0.052054794520547946
14623736,365,362,0.9917808219178083
14757959,365,344,0.9424657534246575
14893120,365,109,0.29863013698630136
14944407,365,81,0.2219178082191781
14964333,365,365,1.0
15035792,365,84,0.23013698630136986
15044520,365,229,0.6273972602739726
15107917,365,193,0.5287671232876713
15141830,365,172,0.4712328767123288
15148535,365,72,0.19726027397260273
15215432,365,103,0.2821917808219178
15274263,365,161,0.4410958904109589
15305332,365,354,0.9698630136986301
15364905,365,22,0.06027397260273973
15379517,365,144,0.39452054794520547
15415503,365,11,0.030136986301369864
15455911,365,0,0.0
15457178,365,148,0.4054794520547945
15523177,365,0,0.0
15526050,365,138,0.3780821917808219
15527182,365,0,0.0
15539399,365,89,0.24383561643835616
15572071,365,271,0.7424657534246575
15707390,365,228,0.6246575342465753
15709563,365,315,0.863013698630137
15736839,365,225,0.6164383561643836
15754576,365,82,0.22465753424657534
15766267,365,0,0.0
15769019,365,290,0.7945205479452054
15769542,365,81,0.2219178082191781
15791078,365,365,1.0
15859205,365,210,0.5753424657534246
15864975,365,110,0.3013698630136986
15891578,365,30,0.0821917808219178
15911332,365,227,0.6219178082191781
15934211,365,349,0.9561643835616438
15943600,365,353,0.9671232876712329
15948484,365,309,0.8465753424657534
15954301,365,194,0.5315068493150685
15964784,365,138,0.3780821917808219
15966400,365,349,0.9561643835616438
15966454,365,345,0.9452054794520548
16065284,365,85,0.2328767123287671
16078176,365,29,0.07945205479452055
16080061,365,68,0.1863013698630137
16089419,365,63,0.1726027397260274
16138944,365,0,0.0
16142591,365,240,0.6575342465753424
16149678,365,358,0.9808219178082191
16194730,365,124,0.33972602739726027
16203170,365,269,0.736986301369863
16215192,365,91,0.2493150684931507
16235414,365,346,0.947945205479452
16275341,365,340,0.9315068493150684
16340566,365,0,0.0
16369174,365,182,0.4986301369863014
16374348,365,150,0.410958904109589
16424173,365,233,0.6383561643835617
16459905,365,101,0.27671232876712326
16460912,365,138,0.3780821917808219
16469777,365,2,0.005479452054794521
16481066,365,197,0.5397260273972603
16526138,365,110,0.3013698630136986
16550758,365,241,0.6602739726027397
16552078,365,46,0.12602739726027398
16553999,365,140,0.3835616438356164
16581486,365,242,0.663013698630137
16593304,365,231,0.6328767123287671
16739098,365,137,0.37534246575342467
16820621,365,219,0.6
16836349,365,69,0.18904109589041096
16860797,365,254,0.6958904109589041
16877750,365,6,0.01643835616438356
16916799,365,316,0.8657534246575342
16965201,365,251,0.6876712328767123
16965572,365,270,0.7397260273972602
17025316,365,0,0.0
17025907,365,0,0.0
17032186,365,145,0.3972602739726027
17105691,365,19,0.052054794520547946
17110793,365,6,0.01643835616438356
17206882,365,265,0.726027397260274
17213225,365,365,1.0
17216033,365,0,0.0
17248878,365,26,0.07123287671232877
17273007,365,296,0.810958904109589
17287805,365,276,0.7561643835616438
17347962,365,128,0.3506849315068493
17369769,365,93,0.2547945205479452
17583027,365,135,0.3698630136986301
17629624,365,268,0.7342465753424657
17661973,365,59,0.16164383561643836
17686934,365,364,0.9972602739726028
17689778,365,148,0.4054794520547945
17839590,365,81,0.2219178082191781
17839907,365,83,0.2273972602739726
17851610,365,0,0.0
17858551,365,139,0.38082191780821917
17859630,365,137,0.37534246575342467
17860965,365,130,0.3561643835616438
17918107,365,139,0.38082191780821917
17928951,365,262,0.7178082191780822
17930233,365,0,0.0
17946966,365,95,0.2602739726027397
17982233,365,0,0.0
18020148,365,0,0.0
18060986,365,338,0.9260273972602739
18072488,365,103,0.2821917808219178
18182753,365,354,0.9698630136986301
18201847,365,87,0.23835616438356164
18203178,365,0,0.0
18219195,365,126,0.3452054794520548
18233385,365,305,0.8356164383561644
18255479,365,232,0.6356164383561644
18258105,365,51,0.13972602739726028
18297846,365,193,0.5287671232876713
18421633,365,144,0.39452054794520547
18423691,365,143,0.3917808219178082
18433648,365,245,0.6712328767123288
18469735,365,89,0.24383561643835616
18473872,365,299,0.8191780821917808
18492644,365,213,0.5835616438356165
18584300,365,233,0.6383561643835617
18587625,365,0,0.0
18596203,365,156,0.4273972602739726
18604818,365,261,0.7150684931506849
18621578,365,0,0.0
18622727,365,34,0.09315068493150686
18639148,365,0,0.0
18641647,365,27,0.07397260273972603
18676657,365,51,0.13972602739726028
18710038,365,35,0.0958904109589041
18766785,365,0,0.0
18794968,365,303,0.8301369863013699
18795799,365,28,0.07671232876712329
18796471,365,31,0.08493150684931507
18798963,365,122,0.33424657534246577
18799589,365,48,0.13150684931506848
18799698,365,332,0.9095890410958904
18800405,365,360,0.9863013698630136
18801946,365,147,0.40273972602739727
18818844,365,334,0.915068493150685
18849268,365,114,0.31232876712328766
18865759,365,289,0.7917808219178082
18909518,365,121,0.3315068493150685
18909751,365,117,0.32054794520547947
18935800,365,272,0.7452054794520548
18936182,365,314,0.8602739726027397
18936196,365,342,0.936986301369863
18936207,365,282,0.7726027397260274
18936218,365,214,0.5863013698630137
18944766,365,0,0.0
18964686,365,3,0.00821917808219178
19091146,365,151,0.4136986301369863
19103948,365,60,0.1643835616438356
19144139,365,303,0.8301369863013699
19147088,365,182,0.4986301369863014
19155182,365,128,0.3506849315068493
19163612,365,272,0.7452054794520548
19170812,365,76,0.20821917808219179
19173551,365,118,0.3232876712328767
19201503,365,0,0.0
19203083,365,283,0.7753424657534247
19220529,365,247,0.6767123287671233
19241006,365,0,0.0
19257448,365,303,0.8301369863013699
19296085,365,45,0.1232876712328767
19305100,365,0,0.0
19315872,365,0,0.0
19387277,365,213,0.5835616438356165
19459682,365,0,0.0
19482920,365,214,0.5863013698630137
19496584,365,269,0.736986301369863
19508482,365,29,0.07945205479452055
19513449,365,320,0.8767123287671232
19583881,365,103,0.2821917808219178
19627394,365,4,0.010958904109589041
19631662,365,352,0.9643835616438357
19684277,365,128,0.3506849315068493
19832230,365,322,0.8821917808219178
19842055,365,116,0.3178082191780822
19842634,365,124,0.33972602739726027
19927036,365,240,0.6575342465753424
19980159,365,115,0.3150684931506849
20002194,365,293,0.8027397260273973
20022845,365,260,0.7123287671232876
20043720,365,328,0.8986301369863013
20057949,365,329,0.9013698630136986
20058047,365,319,0.873972602739726
20059264,365,301,0.8246575342465754
20060375,365,221,0.6054794520547945
20065266,365,170,0.4657534246575342
20074760,365,90,0.2465753424657534
20083682,365,265,0.726027397260274
20183528,365,319,0.873972602739726
20193815,365,108,0.2958904109589041
20206353,365,358,0.9808219178082191
20296253,365,159,0.43561643835616437
20352146,365,0,0.0
20363597,365,158,0.4328767123287671
20428824,365,172,0.4712328767123288
20442991,365,114,0.31232876712328766
20461192,365,274,0.7506849315068493
20492638,365,85,0.2328767123287671
20517472,365,123,0.336986301369863
20559000,365,261,0.7150684931506849
20699662,365,335,0.9178082191780822
20700715,365,347,0.9506849315068493
20701142,365,323,0.8849315068493151
20743643,365,89,0.24383561643835616
20767814,365,309,0.8465753424657534
20777741,365,97,0.26575342465753427
20791615,365,364,0.9972602739726028
20807129,365,0,0.0
20810353,365,97,0.26575342465753427
20813572,365,213,0.5835616438356165
20894718,365,0,0.0
20902719,365,159,0.43561643835616437
20910737,365,44,0.12054794520547946
20920033,365,0,0.0
20963326,365,353,0.9671232876712329
20984231,365,63,0.1726027397260274
20984907,365,130,0.3561643835616438
20985359,365,0,0.0
20988820,365,123,0.336986301369863
20989755,365,87,0.23835616438356164
21049093,365,42,0.11506849315068493
21059299,365,54,0.14794520547945206
21061129,365,35,0.0958904109589041
21068935,365,179,0.4904109589041096
21071253,365,309,0.8465753424657534
21083767,365,0,0.0
21084463,365,211,0.5780821917808219
21100732,365,347,0.9506849315068493
21133929,365,237,0.6493150684931507
21177190,365,213,0.5835616438356165
21245848,365,0,0.0
21245850,365,0,0.0
21245851,365,0,0.0
21274837,365,150,0.410958904109589
21393080,365,32,0.08767123287671233
21435436,365,113,0.3095890410958904
21552847,365,57,0.15616438356164383
21553726,365,59,0.16164383561643836
21561990,365,254,0.6958904109589041
21568771,365,258,0.7068493150684931
21606341,365,60,0.1643835616438356
21626266,365,309,0.8465753424657534
21636330,365,67,0.18356164383561643
21650100,365,0,0.0
21692382,365,232,0.6356164383561644
21702810,365,309,0.8465753424657534
21703615,365,89,0.24383561643835616
21718399,365,0,0.0
21759941,365,0,0.0
21761278,365,202,0.5534246575342465
21806594,365,365,1.0
21853514,365,135,0.3698630136986301
21853637,365,44,0.12054794520547946
21853919,365,29,0.07945205479452055
21854628,365,132,0.36164383561643837
21854658,365,249,0.6821917808219178
21856438,365,85,0.2328767123287671
21859322,365,330,0.9041095890410958
21875909,365,109,0.29863013698630136
21884255,365,326,0.8931506849315068
21908377,365,281,0.7698630136986301
21920700,365,52,0.14246575342465753
21932834,365,0,0.0
21943689,365,219,0.6
22040354,365,0,0.0
22053491,365,105,0.2876712328767123
22067127,365,214,0.5863013698630137
22090275,365,202,0.5534246575342465
22151874,365,66,0.18082191780821918
22156573,365,49,0.13424657534246576
22167179,365,301,0.8246575342465754
22172055,365,73,0.2
22268700,365,87,0.23835616438356164
22284072,365,149,0.40821917808219177
22287146,365,90,0.2465753424657534
22310998,365,59,0.16164383561643836
22346072,365,230,0.6301369863013698
22349059,365,365,1.0
22351014,365,133,0.3643835616438356
22362603,365,297,0.8136986301369863
22380641,365,0,0.0
22417265,365,226,0.6191780821917808
22457416,365,227,0.6219178082191781
22457555,365,203,0.5561643835616439
22472344,365,359,0.9835616438356164
22475902,365,16,0.043835616438356165
22481505,365,144,0.39452054794520547
22486515,365,90,0.2465753424657534
22552790,365,0,0.0
22609995,365,320,0.8767123287671232
22655969,365,152,0.41643835616438357
22694293,365,359,0.9835616438356164
22719837,365,265,0.726027397260274
22721597,365,213,0.5835616438356165
22754904,365,332,0.9095890410958904
22758392,365,193,0.5287671232876713
22858155,365,225,0.6164383561643836
22859422,365,333,0.9123287671232877
22868412,365,355,0.9726027397260274
22869464,365,364,0.9972602739726028
22869912,365,83,0.2273972602739726
22891563,365,182,0.4986301369863014
22894297,365,66,0.18082191780821918
22946056,365,70,0.1917808219178082
22986586,365,90,0.2465753424657534
22995818,365,59,0.16164383561643836
23045902,365,156,0.4273972602739726
23050658,365,365,1.0
23084840,365,72,0.19726027397260273
23093178,365,134,0.36712328767123287
23100152,365,9,0.024657534246575342
23228459,365,114,0.31232876712328766
23258620,365,216,0.5917808219178082
23259274,365,220,0.6027397260273972
23281011,365,48,0.13150684931506848
23319648,365,261,0.7150684931506849
23319845,365,78,0.2136986301369863
23332802,365,42,0.11506849315068493
23344386,365,49,0.13424657534246576
23361112,365,273,0.7479452054794521
23419557,365,0,0.0
23424883,365,323,0.8849315068493151
23467163,365,313,0.8575342465753425
23551726,365,57,0.15616438356164383
23555386,365,346,0.947945205479452
23577267,365,319,0.873972602739726
23616457,365,365,1.0
23681472,365,217,0.5945205479452055
23708394,365,292,0.8
23751860,365,306,0.8383561643835616
23753753,365,213,0.5835616438356165
23760253,365,228,0.6246575342465753
23802309,365,337,0.9232876712328767
23886500,365,212,0.5808219178082191
23893047,365,16,0.043835616438356165
23904098,365,304,0.8328767123287671
23904915,365,272,0.7452054794520548
23907847,365,272,0.7452054794520548
23913737,365,338,0.9260273972602739
23928968,365,26,0.07123287671232877
23947018,365,56,0.15342465753424658
23951577,365,16,0.043835616438356165
23967400,365,59,0.16164383561643836
23985166,365,107,0.29315068493150687
24021587,365,248,0.6794520547945205
24027795,365,308,0.8438356164383561
24044395,365,329,0.9013698630136986
24091046,365,139,0.38082191780821917
24091324,365,137,0.37534246575342467
24091419,365,139,0.38082191780821917
24091621,365,156,0.4273972602739726
24095440,365,13,0.03561643835616438
24261113,365,238,0.6520547945205479
24290990,365,213,0.5835616438356165
24292042,365,42,0.11506849315068493
24296252,365,78,0.2136986301369863
24296597,365,51,0.13972602739726028
24384566,365,151,0.4136986301369863
24418893,365,242,0.663013698630137
24438476,365,115,0.3150684931506849
24438550,365,119,0.32602739726027397
24501277,365,171,0.4684931506849315
24507520,365,364,0.9972602739726028
24534022,365,89,0.24383561643835616
24534421,365,329,0.9013698630136986
24550547,365,0,0.0
24585098,365,289,0.7917808219178082
24585159,365,0,0.0
24585171,365,0,0.0
24585186,365,0,0.0
24612655,365,269,0.736986301369863
24613432,365,269,0.736986301369863
24616021,365,39,0.10684931506849316
24634328,365,241,0.6602739726027397
24684289,365,59,0.16164383561643836
24704963,365,19,0.052054794520547946
24738091,365,187,0.5123287671232877
24740273,365,52,0.14246575342465753
24742544,365,361,0.989041095890411
24762910,365,204,0.5589041095890411
24808520,365,365,1.0
24865860,365,91,0.2493150684931507
24884689,365,107,0.29315068493150687
24943872,365,365,1.0
25036369,365,0,0.0
25046318,365,358,0.9808219178082191
25086508,365,0,0.0
25117247,365,296,0.810958904109589
25168381,365,0,0.0
25202607,365,290,0.7945205479452054
25218191,365,209,0.5726027397260274
25248826,365,353,0.9671232876712329
25295259,365,83,0.2273972602739726
25371205,365,287,0.7863013698630137
25382058,365,14,0.038356164383561646
25414070,365,100,0.273972602739726
25415869,365,340,0.9315068493150684
25464974,365,16,0.043835616438356165
25465270,365,0,0.0
25465485,365,16,0.043835616438356165
25548912,365,89,0.24383561643835616
25566294,365,16,0.043835616438356165
25593739,365,48,0.13150684931506848
25698680,365,65,0.1780821917808219
25748635,365,274,0.7506849315068493
25748834,365,274,0.7506849315068493
25749452,365,265,0.726027397260274
25749661,365,261,0.7150684931506849
25749737,365,270,0.7397260273972602
25749899,365,273,0.7479452054794521
25831185,365,358,0.9808219178082191
25844726,365,5,0.0136986301369863
25849520,365,152,0.41643835616438357
25920699,365,0,0.0
25949113,365,365,1.0
25994610,365,137,0.37534246575342467
26052777,365,0,0.0
26054202,365,146,0.4
26112635,365,201,0.5506849315068493
26318460,365,190,0.5205479452054794
26338358,365,329,0.9013698630136986
26443606,365,298,0.8164383561643835
26612419,365,362,0.9917808219178083
26746623,365,138,0.3780821917808219
26904834,365,118,0.3232876712328767
26925750,365,292,0.8
26986835,365,108,0.2958904109589041
27101306,365,69,0.18904109589041096
27172939,365,268,0.7342465753424657
27176084,365,220,0.6027397260273972
27449633,365,254,0.6958904109589041
27450089,365,254,0.6958904109589041
27450769,365,243,0.6657534246575343
27450963,365,258,0.7068493150684931
27466662,365,200,0.547945205479452
27540766,365,230,0.6301369863013698
27563523,365,365,1.0
27617765,365,295,0.8082191780821918
27668350,365,16,0.043835616438356165
27766000,365,16,0.043835616438356165
27766337,365,16,0.043835616438356165
27771760,365,41,0.11232876712328767
27800610,365,115,0.3150684931506849
27818462,365,110,0.3013698630136986
27846788,365,294,0.8054794520547945
27866055,365,251,0.6876712328767123
27931870,365,270,0.7397260273972602
28039073,365,16,0.043835616438356165
28039885,365,357,0.9780821917808219
