id,price,minimum_nights,calculated_host_listings_count,latitude,longitude,last_review_days_ago,reviews_per_month,is_superhost_proxy,avail_rate,room_type_enc,neighbourhood_enc,is_unsold
40210827,1109.0,1,1,25.005997,121.5383,255,0.82,0,0.958904109589041,0,9,0
40235139,4565.0,2,3,25.04655,121.5146,94,0.74,1,0.35342465753424657,0,1,0
40243855,1000.0,30,2,25.01637,121.53047,170,0.98,0,0.663013698630137,2,1,0
40287716,3786.0,7,4,25.01572,121.57401,154,0.49,1,0.15616438356164383,0,2,0
40330069,2123.0,18,14,25.02471,121.52368,114,0.53,1,0.9506849315068493,0,1,0
40383857,4602.0,3,2,25.04207167957717,121.50351256075344,127,1.06,0,0.5150684931506849,0,11,0
40435462,653.0,30,2,25.05847,121.5642,485,0.1,0,0.9561643835616438,2,10,1
40454396,1646.0,21,14,25.02329,121.52355,192,0.49,1,0.736986301369863,0,1,1
40454467,1109.0,2,37,25.02001,121.52759,178,0.62,1,0.3917808219178082,0,1,0
40456965,1680.0,4,5,25.04455,121.50665,101,1.62,1,0.11506849315068493,0,11,0
40472154,1270.0,3,18,25.07139,121.5149,100,1.94,1,0.28493150684931506,0,7,0
40520418,2010.0,10,2,25.03600311279297,121.52590942382812,279,0.2,0,0.4273972602739726,2,1,0
40540357,1353.0,21,14,25.02296,121.5237,240,0.55,1,0.3698630136986301,0,1,0
40545805,3814.0,1,8,25.0407,121.507,147,0.79,1,0.07945205479452055,2,11,0
40545898,2871.0,1,8,25.0407,121.507,331,2.1,1,0.043835616438356165,2,11,0
40546047,2385.0,1,8,25.0407,121.507,131,6.68,1,0.08493150684931507,2,11,0
40546226,3414.0,1,8,25.0407,121.507,557,1.1,1,0.07671232876712329,2,11,0
40623530,2010.0,3,2,25.035551071166992,121.52701568603516,401,0.16,0,0.0,2,1,0
40626194,2010.0,1,12,25.04498,121.51637,943,0.09,1,0.5397260273972603,2,1,0
40688651,440.0,180,6,25.02397,121.56299,1674,0.26,1,1.0,2,2,1
40699557,5215.0,2,5,25.04011,121.50371,115,1.47,1,0.3698630136986301,0,11,0
40710555,2685.0,2,4,25.04113,121.5053,730,0.23,1,0.4876712328767123,0,11,0
40719920,2336.0,6,18,25.03127,121.55826,115,0.99,1,0.36712328767123287,0,2,0
40722729,1654.0,30,26,25.03019,121.56261,243,0.36,1,0.21643835616438356,0,2,0
40725612,1936.0,2,1,25.04324,121.55045,183,1.04,0,0.6657534246575343,0,8,0
40741334,2010.0,30,20,25.02527,121.53909,533,0.07,1,0.0,2,8,0
40759979,777.0,14,10,25.04337,121.56975,125,0.07,1,0.9945205479452055,2,2,1
40762751,1373.0,2,1,25.04593,121.50274,108,0.81,0,0.24383561643835616,0,11,0
40768674,472.0,180,6,25.02306,121.5627,1785,0.36,1,1.0,2,2,1
40788129,1315.0,2,3,25.04109,121.50528,108,0.63,1,0.7890410958904109,0,11,0
40791818,2531.0,2,18,25.02546,121.54651,402,0.1,1,0.947945205479452,2,8,1
40815219,2010.0,3,1,25.03212,121.55345,1577,0.1,0,0.0,0,8,0
40959874,2258.0,30,18,25.03081,121.55873,176,0.36,1,0.5589041095890411,0,2,0
40993724,1095.0,2,37,25.02187,121.52663,287,0.56,1,0.4465753424657534,0,1,0
41018042,2010.0,3,3,25.02887,121.54354,368,0.11,1,0.16986301369863013,2,8,0
41047983,2010.0,180,6,25.02232,121.56274,1645,0.13,1,0.2958904109589041,2,2,0
41067688,1380.0,3,3,25.04381,121.51353,130,0.37,1,0.01643835616438356,0,1,0
41099812,2257.0,1,17,25.04496,121.51669,131,3.84,1,0.3698630136986301,0,1,0
41103155,1675.0,60,3,25.01474,121.53135,184,0.13,1,1.0,0,1,0
41141684,765.0,7,10,25.04763,121.57998,146,0.18,1,0.9561643835616438,2,2,0
41141967,456.0,28,10,25.04776,121.57997,9999,0.0,1,0.2876712328767123,2,2,0
41207585,1865.0,2,4,25.04462,121.50578,139,1.19,1,0.27123287671232876,0,11,0
41218789,2202.0,29,8,25.03109,121.55863,1936,0.02,1,0.36712328767123287,0,2,0
41269627,2010.0,3,1,25.04455,121.57736,9999,0.0,0,0.4657534246575342,0,2,0
41301655,4262.0,2,5,25.04646,121.5169,402,1.71,1,0.7589041095890411,0,1,1
41305522,1895.0,4,47,25.02655,121.496,283,0.13,1,0.2273972602739726,0,11,0
41447976,1620.0,1,17,25.04445488637282,121.51657875172133,123,2.54,1,0.3589041095890411,0,1,0
41448819,1692.0,1,17,25.04487,121.51681,110,2.33,1,0.33424657534246577,0,1,0
41451338,2010.0,1,17,25.04608773602153,121.51466141288849,181,2.13,1,0.0,0,1,0
41489769,4438.0,2,1,25.04804,121.55513,131,1.2,0,0.8657534246575342,0,10,0
41500292,1755.0,30,28,25.04001,121.57618,139,0.42,1,0.38904109589041097,0,2,0
41510616,2010.0,1,12,25.0342,121.53094,567,0.06,1,0.0,3,1,0
41595137,2010.0,30,77,25.02078,121.52392,9999,0.0,1,0.5780821917808219,2,1,0
41595759,2010.0,50,77,25.02279,121.52369,9999,0.0,1,0.7945205479452054,2,1,1
41596224,2010.0,30,77,25.02227,121.52217,9999,0.0,1,0.7945205479452054,2,1,1
41596672,2010.0,80,77,25.02239,121.52187,9999,0.0,1,0.7945205479452054,2,1,1
41598553,3444.0,5,7,25.04965,121.51711,248,0.91,1,0.4958904109589041,0,7,0
41653320,2010.0,30,33,25.0436,121.51263,1089,0.03,1,0.07671232876712329,0,1,0
41845643,1281.0,3,1,25.0572157,121.5088887,100,2.0,0,0.7506849315068493,0,7,0
41846583,1426.0,1,1,25.04337,121.51376,334,0.24,0,0.2328767123287671,2,1,0
41850381,2010.0,1,17,25.045402,121.515611,225,2.53,1,0.0,0,1,0
41987332,848.0,28,3,25.03994,121.50636,116,0.07,1,0.9616438356164384,0,11,0
41987464,828.0,28,3,25.03974,121.50655,227,0.27,1,0.9232876712328767,0,11,1
41988301,3488.0,30,65,25.03455445742733,121.5291268644828,170,0.36,1,0.1178082191780822,0,1,0
42025259,4633.0,2,2,25.136968435221032,121.50924326056445,409,0.13,0,0.8767123287671232,0,4,1
42077243,1029.0,2,1,25.03824,121.55376,176,1.03,0,0.23835616438356164,2,8,0
42144624,1186.0,2,37,25.019778272278923,121.52677899513714,195,0.65,1,0.4520547945205479,0,1,0
42165035,4343.0,2,16,25.03049,121.55606,105,0.65,1,0.9671232876712329,0,8,0
42198596,2465.0,4,11,25.042727600723158,121.50676850329808,249,0.86,1,0.8602739726027397,0,11,1
42209914,3239.0,1,1,25.13157,121.49903,117,0.56,0,0.9945205479452055,0,4,0
42243271,1112.0,30,16,25.07463264465332,121.61247253417967,591,0.18,1,0.4794520547945205,2,3,0
42300382,1944.0,1,17,25.04458283326796,121.516335760616,117,2.7,1,0.3698630136986301,0,1,0
42320762,2515.0,30,15,25.02136,121.5283,152,0.1,1,0.5123287671232877,0,8,0
42322213,1558.0,30,15,25.02289,121.52667,499,0.15,1,0.4904109589041096,0,8,0
42322344,1415.0,30,15,25.02298,121.52687,290,0.17,1,0.32602739726027397,0,8,0
42322478,2286.0,30,15,25.02842,121.52222,559,0.16,1,0.2684931506849315,0,8,0
42461460,2782.0,30,65,25.04135,121.54913,183,0.59,1,0.41643835616438357,0,8,0
42503638,2010.0,90,7,25.02044,121.52932,550,0.24,1,0.23835616438356164,0,8,0
42527718,1631.0,2,5,25.04425,121.50754,93,4.23,1,0.40273972602739727,0,11,0
42527950,1577.0,2,5,25.04302,121.50772,98,4.98,1,0.30684931506849317,0,11,0
42528165,1551.0,2,5,25.04251,121.50781,100,2.02,1,0.41643835616438357,0,11,0
42528309,1543.0,2,5,25.04248,121.5059,107,4.77,1,0.410958904109589,0,11,0
42530293,1916.0,4,47,25.04283,121.50803,122,2.14,1,0.2,0,11,0
42575014,2593.0,30,15,25.02112,121.52849,109,0.19,1,0.1726027397260274,0,8,0
42667796,1610.0,21,14,25.02484,121.52387,213,0.52,1,0.9315068493150684,0,1,0
42695874,4001.0,1,1,25.05211,121.56133,9999,0.0,0,0.0,2,10,0
42725277,1853.0,30,1,25.04281,121.56641,106,1.0,0,0.3561643835616438,0,2,0
42752843,2038.0,6,18,25.03151,121.55791,114,0.75,1,0.6,0,2,0
42766333,3305.0,2,16,25.03753,121.55224,126,0.76,1,0.8794520547945206,0,8,0
42905783,1095.0,2,37,25.02247,121.53316,137,1.17,1,0.26301369863013696,0,8,0
42920325,1350.0,2,9,25.04011,121.50271,115,1.34,1,0.5424657534246575,0,11,0
42920773,960.0,2,9,25.03797,121.50384,93,1.12,1,0.5452054794520548,0,11,0
42925219,940.0,2,9,25.03847,121.5042,107,0.92,1,0.5452054794520548,0,11,0
42925779,5478.0,2,9,25.03795,121.50391,150,0.31,1,0.44931506849315067,0,11,0
43002514,493.0,30,21,25.03902,121.52776,9999,0.0,1,0.9972602739726028,2,1,1
43012864,468.0,7,21,25.04762,121.58938,174,0.23,1,0.9780821917808219,2,5,0
